c,0.10,0.15,0.20,0.25,0.5,0.75,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0
2.0,-6.44e-09,-3.92e-08,-2.53e-08,-3.92e-08,-1.51e-07,-3.26e-07,-5.57e-07,-1.17e-06,-1.97e-06,-2.91e-06,-3.98e-06,-5.17e-06,-6.46e-06,-7.84e-06,-9.3e-06,-1.08e-05,-1.24e-05,-1.41e-05,-1.58e-05,-1.76e-05,-1.94e-05,-2.18e-05,-2.38e-05,-2.59e-05,-2.8e-05,-3.01e-05,-3.23e-05,-3.45e-05,-3.67e-05
2.2,-4.32e-09,-2.56e-08,-1.67e-08,-2.56e-08,-9.37e-08,-1.94e-07,-3.17e-07,-6.11e-07,-9.39e-07,-1.28e-06,-1.62e-06,-1.96e-06,-2.28e-06,-2.59e-06,-2.89e-06,-3.17e-06,-3.44e-06,-3.69e-06,-3.93e-06,-4.15e-06,-4.37e-06,-4.57e-06,-4.76e-06,-4.95e-06,-5.12e-06,-5.28e-06,-5.44e-06,-5.59e-06,-5.73e-06
2.4,-3.02e-09,-1.77e-08,-1.16e-08,-1.77e-08,-6.33e-08,-1.28e-07,-2.07e-07,-3.86e-07,-5.79e-07,-7.72e-07,-9.6e-07,-1.14e-06,-1.31e-06,-1.47e-06,-1.62e-06,-1.76e-06,-1.89e-06,-2.01e-06,-2.13e-06,-2.24e-06,-2.34e-06,-2.43e-06,-2.52e-06,-2.61e-06,-2.69e-06,-2.76e-06,-2.83e-06,-2.9e-06,-2.96e-06
2.6,-2.18e-09,-1.26e-08,-8.3e-09,-1.26e-08,-4.48e-08,-8.99e-08,-1.43e-07,-2.64e-07,-3.9e-07,-5.16e-07,-6.36e-07,-7.49e-07,-8.55e-07,-9.54e-07,-1.05e-06,-1.13e-06,-1.21e-06,-1.28e-06,-1.35e-06,-1.42e-06,-1.48e-06,-1.53e-06,-1.59e-06,-1.64e-06,-1.68e-06,-1.73e-06,-1.77e-06,-1.81e-06,-1.84e-06
2.8,-1.62e-09,-9.32e-09,-6.13e-09,-9.32e-09,-3.28e-08,-6.54e-08,-1.04e-07,-1.89e-07,-2.78e-07,-3.64e-07,-4.47e-07,-5.24e-07,-5.96e-07,-6.63e-07,-7.25e-07,-7.82e-07,-8.35e-07,-8.84e-07,-9.3e-07,-9.72e-07,-1.01e-06,-1.05e-06,-1.08e-06,-1.12e-06,-1.15e-06,-1.17e-06,-1.2e-06,-1.23e-06,-1.25e-06
3.0,-1.22e-09,-7.04e-09,-4.63e-09,-7.04e-09,-2.46e-08,-4.89e-08,-7.73e-08,-1.4e-07,-2.05e-07,-2.68e-07,-3.27e-07,-3.83e-07,-4.34e-07,-4.82e-07,-5.26e-07,-5.66e-07,-6.04e-07,-6.38e-07,-6.7e-07,-7e-07,-7.28e-07,-7.54e-07,-7.78e-07,-8.01e-07,-8.22e-07,-8.42e-07,-8.61e-07,-8.79e-07,-8.95e-07
3.2,-9.44e-10,-5.41e-09,-3.57e-09,-5.41e-09,-1.89e-08,-3.74e-08,-5.9e-08,-1.06e-07,-1.55e-07,-2.02e-07,-2.46e-07,-2.88e-07,-3.26e-07,-3.61e-07,-3.94e-07,-4.23e-07,-4.51e-07,-4.77e-07,-5e-07,-5.22e-07,-5.42e-07,-5.61e-07,-5.79e-07,-5.96e-07,-6.11e-07,-6.26e-07,-6.4e-07,-6.52e-07,-6.65e-07
3.4000000000000004,-7.4e-10,-4.24e-09,-2.79e-09,-4.24e-09,-1.48e-08,-2.92e-08,-4.59e-08,-8.25e-08,-1.2e-07,-1.56e-07,-1.9e-07,-2.22e-07,-2.51e-07,-2.77e-07,-3.02e-07,-3.25e-07,-3.46e-07,-3.65e-07,-3.83e-07,-3.99e-07,-4.15e-07,-4.29e-07,-4.42e-07,-4.55e-07,-4.67e-07,-4.78e-07,-4.88e-07,-4.98e-07,-5.07e-07
3.6,-5.88e-10,-3.36e-09,-2.22e-09,-3.36e-09,-1.17e-08,-2.31e-08,-3.63e-08,-6.51e-08,-9.44e-08,-1.23e-07,-1.49e-07,-1.74e-07,-1.96e-07,-2.17e-07,-2.36e-07,-2.54e-07,-2.7e-07,-2.85e-07,-2.99e-07,-3.12e-07,-3.24e-07,-3.35e-07,-3.45e-07,-3.55e-07,-3.64e-07,-3.72e-07,-3.8e-07,-3.88e-07,-3.95e-07
